transcript_id	genome_ribo_reads	genome_rna_reads	txome_ribo_reads	txome_rna_reads
ENST00000216446.9	189	8	189	5
ENST00000216452.9	89	15	182	21
ENST00000216455.9	1188	148	1221	103
ENST00000216465.10	255	32	245	20
ENST00000216468.8	287	21	277	14
ENST00000216471.4	63	13	59	12
ENST00000216479.8	1187	297	1122	217
ENST00000216484.6	751	41	730	26
ENST00000216487.12	49	10	46	9
ENST00000216489.8	310	26	300	20
ENST00000216492.10	0	0	0	0
ENST00000216500.9	679	81	657	62
ENST00000216513.5	268	13	252	9
ENST00000216540.5	0	1	0	1
ENST00000216554.8	1028	279	1175	254
ENST00000216629.11	94	9	62	6
ENST00000216639.8	794	52	797	41
ENST00000216714.8	1238	415	1213	316
ENST00000216727.8	155	39	186	42
ENST00000216733.8	0	0	0	0
ENST00000216756.11	473	83	461	62
ENST00000216780.9	509	81	473	63
ENST00000216797.10	432	37	398	29
ENST00000216802.10	335	112	831	117
ENST00000216807.12	340	15	340	13
ENST00000216832.9	1184	869	1137	669
ENST00000216862.8	23	2	21	2
ENST00000216877.10	382	69	362	56
ENST00000216879.8	435	73	493	64
ENST00000216962.9	699	107	628	87
ENST00000216968.5	350	37	334	24
ENST00000217026.5	951	750	935	552
ENST00000217043.4	1	0	1	0
ENST00000217073.7	8	63	8	46
ENST00000217086.9	42	36	40	28
ENST00000217109.9	1009	148	974	124
ENST00000217131.6	1067	469	993	342
ENST00000217133.2	3	0	0	0
ENST00000217159.6	143	22	139	15
ENST00000217169.8	2	8	2	5
ENST00000217173.7	103	7	99	6
ENST00000217182.6	1503	593	1444	509
ENST00000217188.1	0	0	0	0
ENST00000217233.8	238	59	211	41
ENST00000217244.9	154	25	1	2
ENST00000217246.8	11	6	10	1
ENST00000217260.9	0	0	0	0
ENST00000217270.3	0	0	0	0
ENST00000217289.8	441	26	434	23
ENST00000217320.8	0	0	0	0
ENST00000217381.3	235	25	230	18
ENST00000217386.2	0	0	0	0
ENST00000217402.3	419	143	653	139
ENST00000217407.3	0	0	0	0
ENST00000217420.2	0	0	0	0
ENST00000217423.3	0	0	0	0
ENST00000217426.7	1343	418	1600	349
ENST00000217428.7	0	0	0	0
ENST00000217446.7	547	66	689	68
ENST00000217455.9	277	28	272	16
ENST00000217456.3	1010	181	986	142
ENST00000217515.11	937	137	930	110
ENST00000217652.7	484	165	238	54
ENST00000217740.4	2	0	2	0
ENST00000217901.10	833	123	785	88
ENST00000217909.8	168	46	160	40
ENST00000217926.5	0	0	0	0
ENST00000217939.7	93	7	110	6
ENST00000217957.9	0	0	0	0
ENST00000217958.8	478	34	729	34
ENST00000217971.8	893	134	864	103
ENST00000217999.3	0	0	0	0
ENST00000218006.3	0	0	0	0
ENST00000218008.8	0	0	0	0
ENST00000218068.7	0	0	0	0
ENST00000218075.9	0	0	0	0
ENST00000218099.7	1	0	0	0
ENST00000218104.6	560	83	633	77
ENST00000218176.4	18	0	16	0
ENST00000218197.9	194	14	195	13
ENST00000218230.6	0	0	0	0
ENST00000218249.7	0	0	0	0
ENST00000218316.4	1	0	1	0
ENST00000218340.4	542	30	533	27
ENST00000218348.7	1682	356	1640	270
ENST00000218388.9	718	105	672	72
ENST00000218436.7	0	0	0	0
ENST00000218516.4	1237	234	1223	175
ENST00000218721.1	1	0	1	0
ENST00000218758.9	5	0	5	0
ENST00000218867.3	0	0	0	0
ENST00000219022.3	13	1	13	1
ENST00000219066.5	652	94	640	81
ENST00000219069.6	240	69	213	47
ENST00000219070.9	1201	234	1185	188
ENST00000219097.7	598	60	591	46
ENST00000219139.8	366	40	367	33
ENST00000219150.10	21	3	23	3
ENST00000219162.4	0	0	0	0
ENST00000219169.9	180	39	526	51
ENST00000219197.11	0	0	0	0
ENST00000219204.8	339	22	403	18
ENST00000219207.10	2	0	2	0
ENST00000219235.5	0	0	0	0
ENST00000219240.9	282	36	276	31
ENST00000219244.9	0	0	0	0
ENST00000219252.10	759	123	766	92
ENST00000219271.4	104	4	103	4
ENST00000219281.8	215	50	209	43
ENST00000219299.8	217	10	215	12
ENST00000219301.8	0	2	0	0
ENST00000219302.7	356	121	317	88
ENST00000219313.9	1136	353	1384	267
ENST00000219334.10	0	0	0	0
ENST00000219345.10	298	37	294	30
ENST00000219368.8	7	0	7	0
ENST00000219400.8	217	30	187	22
ENST00000219406.11	0	1	0	0
ENST00000219409.8	0	3	0	0
ENST00000219439.9	363	15	348	11
ENST00000219473.11	720	171	1207	203
